"","p_cncr5110","p_cncr9580","p_cncr4211","p_cntrl2241","p_cncr6852","p_cncr5544","p_cntrl9937","p_cntrl1122","p_cncr4638","p_cncr2102","p_cncr8112","p_cncr8965","p_cncr1395","p_cncr9847","p_cncr8363","p_cntrl8280","p_cntrl1827","p_cntrl1351","p_cncr6369","p_cncr5171","p_cncr1414","p_cncr2842","p_cncr5302","p_cncr6214","p_cncr4923","p_cntrl9973","p_cntrl4742","p_cntrl6491","p_cntrl7387","p_cncr7481"
"00000110011000011001",1144544,183685,867635,1349,33650,5567571,1414,21052,54146,17466,30074,1515,558884,1310094,123764,1282057,1138828,2266,288521,3768444,1778151,18036,417363,173563,303,13961,61752,23476,825,13964
"00100100100110111001",1728641,317412,7132,6651,1349,398570,34240,9647810,38028,497577,117446,2003,4382731,256204,12987,7522,89575,108582,63541,430,33815,719413,1761,5240,20815,1838600,103421,1830122,397,174412
"01011010101001100111",35583,90966,254571,127016,51,42954,181765,5756,985803,1098687,59,271969,289141,175666,109270,592808,107489,4665,3383,1859016,37306,181,2,114,134665,211135,779578,125271,6,316318
"01001100100110001100",4376,1494032,860384,134453,995,14453,5991712,8654,1006760,168120,11532,4292146,39793,14747,18994,450,71618,9770,287996,1519017,1665390,2292,92965,376,650114,1754,17237,4386228,60066,126467
"10010011100110101100",37020,1949861,245353,17218,2356,11433,73305,4533,1723,236020,7738,1728697,6336,375395,18146,106303,2487635,104148,5689,48477,1213287,4382,2046262,23145,84621,1493783,8032820,456322,11295,5896479
"11001111010001000011",20847,90080,71097,12245,2376,50329,156702,752049,3228360,18626,64071,1557331,23348,5480933,48297391,16619,167277,2939,175425,659514,960909,263890,142383,175983,753158,4346,176832,918,145,9046
"01000010001100000100",388851,136193,368,62763,494952,22799,8412864,1736202,4727,100471,80986,32858,119107,55,360,277985,60,266837,1177944,65317,5902,3334,421189,795,121979,550,476815,153345,3316464,51251
"01010111001001010101",79460,11117,356829,2397,852,140666,513313,276369,496044,23197,7,791387,13642,7278,6803,240532,58822,414400,296803,92119,29427,3851,137,40842,5946,63195,63764,44687,12244,5577
"11010111011011110000",74011,1172,124211,99489,43093,40754,4322251,984508,769183,2811,236,44029,24433,558713,850466,3462512,101795,6569,1681,24112,2605593,2229,1,365794,794322,304019,49508,3783646,357,122998
"10001111010001010011",39187,261441,178438,444029,59113,82,74348,8173,1508923,49408,25073068,61671,1675401,42918,208949,27901,1741433,13413,292114,13385,5410571,2792107,76183,2015,1502158,944025,2640,391,475,25006
"00010010000010100100",197264,323819,101022,108883,69187,43238,82993,920991,56273,2534,262502,49463,1488929,852344,491783,23310,185087,137355,341518,250570,261631,253539,71928,77218,5731,148355,230933,26713,4510,15279
"01100111000110010001",499695,1903,52053,73797,225352,256310,8073047,117471,44849,488687,8316111,29688,108638,1701303,8269,3706,3590,70536,89867,4032370,1143588,10248371,17075,3695,6533,5337748,3967,75658,4377,24495
"11101001001000100011",2831,377430,256081,13205,95384,172878,193090,54000,2247,441206,50060,825,16101,4786,53504,107323,10346,867402,43232,1652255,45714,16999,2788,13359,59086,82070,3270738,461405,134366,128001
"11111010110111010100",373018,183444,2347,1233851,335,22014,424499,4895922,238667,642,29,43967,57822,268318,1552569,1286,537193,151802,1512,1356,87914,1674,172,247145,10732,1418,283030,270927,371,1221
"00110111000011111011",535639,896,3622,123003,36846,13189,402196,19265,652184,1542,85,15255,185,15386,353761,1044522,562409,254543,120293,1517851,9534,16953,576,1048,38791,6618912,1449078,33044,8402,402913
"11101100001000111111",912515,1238,77963,5987202,2420,38886,39338,1474379,1294,334,1262,1491,49771,7659104,731624,11620,7582,1827361,36632,6731,213026,22172276,1566,1444896,7556229,231938,768209,12336,95189,32139
"10001100100011101100",12142151,75434,4851,82606,3194893,12588,57997,6339,358027,12908,60505,17303,7796,1826,204,106307,40127,60972,108268,351136,2356552,9224,31305,11574,581657,6632159,1541,289104,1337,43075
"00011010001001000010",355213,16639,1822,714605,33638,14948,683706,738226,58725,120793,1505,106081449,1207,2899691,2198509,69130,110126,331672,78045,31351,20801,28009,163,10397,97867,198641,6269808,388611,3342,5474
"00000000000011010111",1566898,581760,126,611470,202723,9296,33003,154393,6766,156178,357,523,218090,188403,260122,28114,33480,302417,477192,9091,1271,1170,1447011,157066,41503,1475257,50691,5179,322335,342648
"11011011101100101011",132938,9456,4569093,17645,458616,178020,1411702,25487,20348,8926,53806,211172,17093570,7113,3902,1814,501912,77444,13738,444853,9375,32891,899652,14965,14390,28660,93015,224,22815330,326729
"11000000110000111000",174096,8648094,88001,17293,5152,67429,34692,38029,4606848,6216367,6258239,429095,5693,22834705,143122,5973,162607,113675,73287,316201,333,85776,153899,1847,286519,18455,5991347,25783,6447,62470
"10000010010000110000",7165768,162497,126692,41939,11206,476271,42742,3768,26808570,23221,71997,292521,166379,1464,769070,383972,12214,25309,51155,387830,38503,21913,10821,3112,15861,15251,21447,5398,94613,10502
"00101100111010110110",416,5200,8887,456628,31563,20382,41556,297859,529,1437,172061,28765,14806,23389,539,37889,16957,5576326,59720,46428,135613,1073539,487066,83952,1787,5000736,72060,23526,6651,6942
"00101000000001111100",5857,316415,6274,209134,8983,2303,275,343737,79403,2033,657316,104659,101564,1219685,8402,4561269,293,6037,3777,1446794,37463,332,61388,141979,74286,440822,64982,37847,849578,393
"01000111001001110110",2046641,10236,395246,1119,348070,6512975,155943,4915689,51757,20691,162432,101884,62338,65610,61119,21068,887986,8988,9642,3382,61504,5205,1835084,21504,125844,76117,649396,67472,5115,18836
"11111011000010001001",819873,298633,774351,89675,2037794,162624,589056,775796,3010847,13211698,96978,30390,1031957,2589,9458778,206143,62150,301049,73121,17787,11882,16887,41,14661799,6523,153643,14230,40226,5938,5820
"01001101011010110011",69,4582,17802,8764,33833,145643,57818,191137,384493,963834,3260474,66006,532171,32369,10717,2076,18741,926,129,11192,31094,429161,23530,517767,119847,23454,536642,18332,1760263,8054
"10010010101111010000",49626,33146,4290,122500,9288,49217,1759,2465263,88880,388,113,763,117,1595,374626,331787,175462,1062787,1449,11851,20802,617,52,16321,3343456,255890,5388244,2464,54072,10744
"10011000100010111111",608,16064,29262,75606,420,148422,21494,7118,2123,491876,10300,5841,134111,4357,4240743,99334,2794024,89907,85115,84509,2124437,556850,1678801,1457,1080500,12335155,19606,1615608,14895,1709
"11011010110001011100",1270679,3531878,1041,2064186,1444,17974,315771,200083,9504,61265,5367,941,5059,231291,242260,129,71204,48631,3607,6488,9550,17744,33,19101,82495,44328,8156,3247,104507,4031
"00001110001010111111",8177,26518,109958,37584,1315,67511,8062,8689,83008,44574,1339953,2646,105234,442609,190663,818387,140688,444597,139109,562016,13012,196709,471827,354860,69730,16099,38439,1192410,1016084,1221
"00111101110011101011",79050,15094,56345,193435,5123,2495950,526267,279778,3573,745567,56,1367,52941,56431,32853,192973,59805,40132,1450,606,58126,1546,6639,74785,4990,10597726,4447113,29166,801,32383
"00001001011000101101",19148,39039,2529862,28999,9531,8761,51048,619506,11589363,3223,26815,122,217322,268626,403,158019,87391,1496,7297203,1116,1149,37380,1450,15250344,9563,82626,35969,276402,271351,193211
"00100000011011101000",398429,351724,11367,307226,10665,1342024,13213,4267,5023,603,3134,229507,188623,27874,39,22402,764254,15793,130002,84444,39540,12356,18450,974,35872,2633616,3894,362,143777,16795
"10111110100000011111",7035,4283,61556,577068,79188,197330,13072,33428,1673036,3489,317951,3625957,5585,4727720,462518,266089,42108,31870,140845,112837,521312,151038,438,361656,1676865,182,10654,206668,15289,34089
"10100100100111101101",2703,2009,2831,10527,130821,34433,10997,88646,6436,24202,5813,86692,263708,868625,589440,2465,273453,149611,198746,423779,1109401,12047,24,85459,66218,72157,113747,576628,70527,83778
"01110010000011101111",1760535,5609,926,7686742,6580,362118,1082663,771283,8936,23455,1578,54665,68,385,22737,54964,9165,377561,2095,24446,32567,15397,22,31841,949424,37513637,8092,559428,3303,163896
"10110101111000010011",20512,215858,13305758,12958,13023,510302,4335,2136,56201,9747,21184,24949,74108,43976,6531326,3052488,230437,187272,1393,62125,3406,11693178,1251,558,1409605,42942,33882,31405,490,1679
"11001011101010111011",432,337055,4378375,8079,518,305027,70432,222367,468754,185,1336720,19486,1382946,445845,469257,1011211,764036,15762,188031,9946107,15455368,104877,4198,44933,267709,117076,5949,1509578,90177,491752
"10101001101000011010",20325,119272,2624891,47547,139119,138716,246185,24419,4680,23834,32148,406134,32205,35612,1488680,391552,73017,8960,39207,53202,770271,841101,20865772,4360,3411,69780,24813446,19965,20684,47813
"10011001101011110110",130430,3844,9582,10348726,3457,1429,5910,2626889,189413,91886,351,24014,29718,407181,1683,3549166,106831,2619,14473,39858,827939,13880,221,2878,960,302698,54009,91541,135220,3019
"00111011101110000111",9122458,1656,1054646,692821,462354,1280138,27651,295293,255268,18880,32986,156746,236941,1713725,1064245,7057,1199087,672,4282314,40575,8900,220581,159603,295649,900484,6350,147331,942357,709704,1290
"10010100010100010011",7282,2428,63827,186663,89470,213329,117994,678899,48024,465823,12302,1422,6588,39,2184266,2481,679,5202,632,1105739,2189,136129,141,682276,10888935,11126166,334589,215855,41200,48389
"11001000010011000100",13055,78014,54560,18541,2311,3752470,15007,2436,62101,3321,10634,2132,100087,76562,342123,165192,94832,33247,17473,111735,2764,64440,24079,45921,109322,654,141532,75549,506403,35586
"10110000100000000011",204575,16618,3219,8422,100582,28361,162361,52847,1247038,94,10846,347837,3334512,673,25000,15901,669662,82025,2882,3338894,616,659485,1272528,394168,166611,1628233,8816,92123,25844,271
"01011001010111010101",69698,4255,5760,297816,34634,368218,4460282,2208,1696160,461385,384,34535,1433,155922,6526,2493494,63845,95136,356,2258,6361,1043,158,15379,1195,83218,4653,75846,28109,1469
"01011110010100011010",1234857,1566700,1232735,535265,17841,1068879,4472,47182,441217,13891,8913287,416,961,123712,170731,334637,170412,153279,4787346,11241108,53174,72316,67512,1427,241572,44660,27225,24925,185653,356419
"01010101010101000001",18448,310375,1587,1012910,7484,75447,13759,699565,442290,3719,12,19369,302,41734,1461,6168,707235,27727,23105,356,13113,285262,2,1950,70856,237560,377170,4105821,31592,30813
"10110111000000100010",126894,1183,6848487,40415,1542684,2928,964872,3348,197364,338397,362221,129456,326935,268,73103,41415,2882,3115,141576,165415,22016,2630,35753,1831673,425089,389534,665101,7467,3222,5122
"00111110111110101111",102914,63008,78692,5086,4095015,33944,17625,91771,1662,18762,4530,3075189,187595182,15751936,160630,2730,507,77092,81901,120075,1398107,89576,415895,38500,15418,108880,22258,8192977,19594,342475
"11011110111001101111",82952,722189,41534,11410,7232,53642,65366,41724,434108,52285,94,550623,113256,10535,76889,1567,166411,4267,1516,34937,16871,12668,86,909,3179,5955,25098,560,7083,240271
"11010011001010110001",2813,33455,28046,23372,166803,2385,33631,51244,3743960,327257,34280,68823,64,566350,3967,3433,179897,2981,148059,88467,16646,43382,8133608,90484,596776,214813,185195,141642,479204,3907
"10110100100011000100",8390,55811,130080,37398,30826,62484,2769,7192,63806,37008,2247,289295,185,19625,1588,238790,2426570,556039,667961,6155,81471,26744,1187,12591,3003759,425206,179144,566143,7039,5170
"11110100111001001110",98753,84112,4052,3028,11885,551292,864037,59248,21335,29755,448,4146,6037,1280680,865723,1304429,3079016,35370,400111,39993,19,6237,113,48991,5347,171528,2196949,30379,753559,20146
"01000101100111001000",283417,1107,124337,2296307,16468,7151,2432769,28715,170754,324467,19548,13715,3977,15630,79318,232034,44165,698589,14889,17382,539,48619,304584,21236,237037,10264,1539109,23301,642527,2598
"11001110110101010001",326,741067,3088019,41256,9402,926511,361188,1689,1572894,949169,1255,389338,9323,75116946,27367,307236,1390,555647,1218390,396270,2504977,187586,14005,3039224,152609,1840,49444,1927714,203055,207989
"00001111011011110000",7881205,45438,557192,5065,129334,624820,44352,4059956,183175,1116205,1732591,721921,1394648,78897,9616,1894,1858838,9205,174332,141071,53158,32532,126487,963,489974,301858,200136,6771,127007,32858
"11011000000011001101",15854,71509,16380,2351355,1559,394865,534,260449,6016632,65175,1013,156826,75968,534,791318,59223,138201,36054,24814,669,32130,856,43,4597,372,12857,764312,712706,2945,17677
"10000000110110111100",342531,115705,455039,8344758,3597965,85362,19274,10353,10556,47019,21252,267257,75,75991,2033004,29703,28847,110072,75339,18660,58818,646,312296,1454657,133382,19,1517,9166736,703854,5535
"01110011001111011010",6275965,6498,330,1307587,5235,90398,387941,756292,919585,33653,212,10317,32,4541,153711,712927,252,3141410,3859,5522,256215,9279,4,243,153,945991,7883071,1282481,491,61372
"10100110110100010111",135938,128541,72183,3188,1309718,19853,1794,27627,575776,85199,445328,15958,418104,170439,2482,312,148136,4060,23745,9322258,982496,11473,16312,2110,19339,2283,41936,159670,829739,475223
"00010000011110000101",275111,40042,65414,2009488,24422508,246410,26379,411570,25700,653,55101,1390571,47839,115962,114943,5339,32723,90994,1624186,2125,437383,121890,44180,4106,52881,43085,84910,4476,91623,194922
"00111100010110010111",6411,161868,5340562,1308514,48691,1050,1004,45385,28717,94239,44752,1106466,23569,169128,25883171,38666,24519,45033,127010,1052072,999749,19965,107328,272016,463833,281,30993,51981,805777,1140
"00001000010001101000",37733,38796,731,474435,151900,2441388,49509,411705,64148,213731,27898,540,321823,70510,93030,1039547,1009465,3000,4905,17109,92792,621317,5656,579842,2379251,15123,12310,610706,8009,9932702
"11110100001101101101",7118,4256,118342,62968,15233,7671,17864572,4844081,109212,517,410,742,57132,395956,2888,1343106,1153,138181,20161,5743,21822,3704,561,140688,632234,98105,1700551,2537,3101,3613
"01101111100000110110",5552,939445,2912,239893,746553,6043,6131,14168,11744,10982,75667,17793,926,27765,195908,21935,3339,39394,118777,193658,32892,769772,635336,6250,11599798,5567,9925,193302,3096628,145691
"10111010001110010000",51143,1377,1063976,221568,5473,6649,61985,581244,974,88348,794640,417674,31582,85067,463759,31917,202159,1096943,476021,2131,2672253,21439,8373,99581,3838,20587,31527,57451,61302,2128310
"00101001001110000111",129946,1961383,1925995,426836,2182405,789,6674,1335627,90706,253,41697,1800,1314,15000,853390,367443,584,642514,1048,3027,254264,95703,4221971,2235,4750841,8674,98667,422,71293,521
"01010110100101011100",4475,2328501,32491,967,25,5113,3002,14094,548,1045488,706,3211290,85,3755,78235,1592086,2040990,25533,21420,2419,8660,98,17,35460,111732,130798,35141,128965,138066,1782
"00111011000101100100",4849,27847321,1615,88971,4809,4496467,247844,51776,493473,2010,644,944314,5517,1236,3532,76780,1402381,103074,34443,77649,947,3172,43,1168559,105994,974121,552055,46327,2252,1014
"01010110001101101111",36120,72179,12422,39393,1133,20193,5802435,15154,20964,2155,27,33344,41198,487829,31636,35509,3973621,32016,113038,135565,41697,1995,3872,37264,3350,704594,32830240,865920,64602,18624
"10111000100100011010",5243,1756,323,209923,2002,81316,5875,275426,619982,1377116,26643,4297907,1174,10535,2791711,4197,492,1441862,25333012,13523,9463,20810,2518828,2816681,3433197,1433,99545,317,12121,812
"01000011000001100011",1843,2503,353276,419291,361548,97375,3591,167150,76094,50987,607220,17246,25920,206844,935995,304,64965,2753,268653,109208,1305211,119099,681,39143,345,627518,864,15216,52842,63918
"01111111100000010001",10495,43722779,296308,9610,261514,420353,227998,1118678,49695,323,37143,1785,245,5748,7123,799401,183144,761758,62070,161709,1898,63998,467734,130432,153983,156928,276,5874,250944,259488
"01100101100110110010",1924,30774,70592,5057,21689,212130,24166,1621913,33581,876904,11258777,3226477,519055,9283,341,16243,9846,6807,111251,18647,11263,46,304649,79829,93257,295745,147236,1053284,2670,13676
"00010001111101000010",192662,69819,1748,6710,65,144896,52657,61322,18618,14514002,507,69886,762,39072,9515,7180,1832202,3037857,434440,777721,156080,1411,100,18718,137069,54075,838246,97916,5915,26951
"00000111011110110001",8972498,1451,56673,271233,36605157,406469,44653,27762,2095121,25142,1139908,6260,210487,8791,1671542,94341,2959,110588,4165255,5768,318684,195302,9944,2808959,11919555,882,7185,2627,11409,10531
"10100110001100100101",24889,986223,5525,15154805,9204,1260,3548823,2495,4621331,221047,30005,2601024,307647,8687,304116,258325,129930,2772,500466,13404,3241,52347,44577,2118,64497,13344,283132,10258,2433,7193
"11001101101110010111",864437,1167,231115,4745,288110,180469,428031,230290848,18071,34612,3684,879,3969,143448,171242,13997,195011,5883,24816,4149930,1585142,70688,1528256,1603837,3463,26060,4429,122388,2314322,2181
"10001000011101111010",497859,46024,420670,1732039,3668,5021132,1580,128409,220614,19472,391446,320054,18006,30355,5455389,199919,152294,14718,9016,2107,523543,28926,19959,532,98684,716826,9350,1790094,2773193,5601
"10000010100001001111",186002,1033184,1115,259085,2287357,16873,38255,13994,240239,41044,6849,287888,3786,285640,56014,146344,2115,428461,282534,58293,11004,2283339,14660,684902,676262,32076,40436,4453,1155,225586
"11010011000001110011",1987442,505221,6520,10919,27743,6000165,679860,21948,3062998,5378,2,40418,53,301336,4313436,377231,122,966823,11775,108,2705,4089,15,7334202,1402,518306,2391450,2028882,14586,165242
"11111100001011011101",988,315205,1349,9957959,1,55316,172776,38443,14352,913,141,433402,303,287451,716520,56350,282214,103797,49024,12536,474,924,87,192,125927,109210,168142,241519,256414,41870
"11111011101101101001",28267,167871,91811,859835,2584,39947,7400,22261,2352,1334805,13,22467,58100,26823,1328656,417,219606,455558,278204,88418,31949,51913,4834,6439,865170,38430,228697,211946,76,17512
"01000111101011110101",484588,24696,182987,1530877,793460,619674,62035,6150814,7713,1172954,10135,237,349946,50369,41960,1743,126048,6573,9990,140971,2750678,1284017,57369,40227,7595,9423,59116,915241,97630,22870
"10111011111001010111",5120,53370,3738,18236,24588,1371220,182610,59984,1235663,33840,97,439615,34674,16445472,1332675,1068802,109043,356,123476,455271,4354603,268,14,310348,55047,114471,1989394,257666,3837,1450
"10000101011000110000",4063,350601,26047,1504725,4282,56460,7412,35639,3732,23310,234,32391,2997,912,13431,65505,35047,76843,24829,2064,38108,9161780,498280,10044,146948,32300,3238065,43771,37895,36277
"01101011011111100000",3050724,1295515,205255,30275,2114154,298010,50842,315816,1175973,7424,119910,774024,4454,16310,76,64082,49088,16394,569,12743,205916,84650,2320,105973,224458,3224,3982954,167238,1142,766024
"00111111111110110111",29812,2514645,158,1731,215176,466900,181957,31707,42533,5649,250521,431940,1401439,14677,376032,37856,2900,9201,196260,134357,40056,2501,47267,358769,692902,91346,62592,4739,385,483
"00010100110100011011",72926,5366624,6092,454514,259995,137789,348400,116923,11470,68218,133324,67451,16545,293212,164859,4249,238594,18106,12027,3427,733676,9782,643136,591274,86512,8482,270,31703,116909,551845
"10000101101110010110",164098,127159,1373683,142936,76969,793721,137,4672107,43,8985,43227,24004,1142476,28750,68,95513,41930,266679,626586,68238,97831,343083,373619,1026,357,1411103,31885,1745982,2451,46520
"10010110011111010100",33438,54954,53799,47187,136,414553,400945,22046748,296938,3315589,1432,132808,6505,839606,29021,12821,8223,17922,2173,27973,150482,13524,1681,71087,2670,1199,573213,5249962,1463,462
"01100111000111011111",835,12348,200603,9357,446029,7054,360210,926380,43842,32580,36545,15577,409151,795341,124024,132091,36007,906,2378,16498408,1499440,490513,803697,56334,138904,142111,743885,11346,431600,289919
"11010010110101101100",6397,2678978,6829,34555,46661,2495452,29779,494794,52141004,14887,2924,3128,778,63010135,39895,30654,81571,6686,152231,395,85523,86089,5,16598,10953,9943,13003806,2850360,14282,25402
"01000110010010100010",555741,32049,2216,67953,3532,165702,28194,71095,695617,11524,167661,2759,3399163,3184330,57157,151373,3984509,135432,5154212,17798,11210,159613,142719,1126,3844034,4141598,117617,3535,2768,47744
"11110100110101101010",132456,371407,27825,1077077,12437,7930,2326783,2229159,2487,74397,345,106889,53073,63066,7742,55785,9550,141048,3925,193,104,11214,7105,713,8121,1721773,568515,2716312,30456,95315
"00101000111111011111",33034,66043,2354,1564,1778,484464,191038,5878,13658,705118,4135020,60193,1625,1914300,563,9780633,39624,15392,16422,57246,218502,229954,397217,147173,4782,75288,1313402,1510795,15036,33654
"00011000011100100101",14524,41556,56875,220385,1990796,139999,9301,5649980,4478,56698,1129650,39577,203890,1432,63211,32681,67088,84047,40,202384,239546,877207,5816,2223075,222187,16092,100783,6274,11995,170757
"01100001011010000000",2674493,17241,60432,381128,17854,339,238,22215,11637,9080,132,3814036,2594,6334781,226284,398848,192234,34049,66288,28,9526,245,134125,392310,3092,31182,1147827,404852,864,3123
"11111101010100100000",28938,564,1605202,188534,471991,49660,1856,8715,288190,79655,26858,11189,61848,57516,2837,230472,2359,26098,111536,196445,146355,22437,8832,2347167,304,8737888,299048,348551,7093,1029339
"10001111000111010110",179531,7641878,45238,869423,128592,94460,76271,173399,676640,429321,43886,2072710,86554,2705,377427,24633,377698,2149,24540,15458,7886,14759,6062,5601733,177933,7008333,928,61667,25448,15063
"11001000110110101101",51894,81295,29709,380750,6057,187864,42703,24944,19903,16205,35617446,26674,105697,11730,85573,273361,42476,21782,413969,994793,10488,180239,33897,232652,617641,14638,16191,26671,66378,1359971
"01110110010011110011",4689,347515,50657,36382,995,443512,481,10,8787,549094,49,78474,343716,16873,4685,18976,9545,70642,2009,105463,109592,13312,2967,4231,32938,2123,23230198,590884,386,43374
"01000000001010000001",34035,7451744,649720,77884,33408,6243,154339,8316,330839,38764,82527,11343319,22518,6302,2838,28332,68469,345362,444,1508903,34062,16281,44729,60299,4159905,35516,166315,717898,18946,2827
"01000110011100000101",4422,156654,2039575,11448618,21947,627199,157366,71398,240647,88680,67566,2693835,654111,1242131,88098,6080887,93610,97713,1803698,786527,854146,261466,42520,23017,102318,9614,55252,342620,84034,15590
"01000111000111010000",2818,188387,21143,330541,246999,6295325,59033,2587,22934,325361,1236,6570,74326,16254693,2288511,122696,14808,1102032,53462,181429,21967,2431250,73263,656362,66743,266827,10100,365,765501,2136395
"01000010011000011101",50539,276104,2143804,472278,262086,43578,134886,69791,1081,166450,43287,420227,564,15469,811465,22178,9511,2161682,96101,458272,855149,1036881,193564,401638,1016250,17976,1583256,191235,3989,15772
"11111011000101001001",30451,19814,5902,976536,886,8189,16481,98079,9991,5100,16,946,3119,39159,901658,58322,7342,10459,217,548,43322,442648,5,43598,833672,69992,14389,1622840,204,72711
"00010110011000100101",2200777,235525,207330,1213629,146240,432453,72410,554390,77251,3693835,760581,5151,91756,319961,32036,68327,14645,1974142,10384,2811130,5666,8191,66602,1464053,2026,57116,1628406,5143,1158,206079
"11001010000010111101",5704,238367,901195,102802,54053,17410,536675,2137155,13791,395,12711,265992,16007,1588,4618,33854,46321,1327654,34329,52850,10917,2237,7593,29603,161197,124457,1300445,279617,1089985,4202
"11001110100110100111",1065,26010,41061,353803,6440,19810,33416,26301,13930,25724,359031,85074,638,39854,600374,2043,2354,51328,815389,326082,320208,13437,509129,37650647,15604,15748,216398,12083,198,321147
"00110110110001101001",695,737,34648,117901,12656,25667,83953,18173,339105,14805,210,208,199009,63667,43883,142777,25531188,10488,54176,93035,3807,489,4,95898,30696,3356,4146400,654,10407,24673
"11111101110010011011",507789,21297,81035,9052117,186405,24784,5252273,7394,392220,3382,3501,67536,9047,9432,6962,14383,10375,61497,11726,236824,1924,236140,2364,4738,2284,2321,3726,299607,38024,187762
"01000101110001101110",6408835,34546,11700,97335,50146,11337,93471,64639,89002,5417,848,58479,67473,75223,11242,257,540,3909,1119764,67252,465691,1847,96251,496663,11795198,892,970975,2914,276,1791
"11110011111110111001",2608223,316248,24404,19685,2326457,302894,439,7926,120252,2446,489294,10235,3457598,162992285,6130,8283,79220,12768,1760273,2395575,25495,13493,157399,70304,1641,27439,24,272184,42178,373518
"11100110011111001000",3079666,372986,549,12913,368072,714,16677,102695,883702,196353,65355,215541,9462,131865,138,1101,11435,115767,13584387,27530,2217312,214410,150569,295880,2276,15592,11472,643826,3278,729947
